rvprcomments,wasreturned,wfsku,year
"There is no mention this is a small child's recliner. Age range 2-6 maybe? This needs to be the first part of the description, child's recliner. Small recliner does not tell you this a child's recliner. I have no use for a child's recliner.",1,D,2017
The pot did not look like the picture. I thought it would be more metallic but looked more like painted plastic which made it look cheap. Returned immediately.,1,E,2018
Thinner than I thought and the color was too pink....,1,F,2018
"This is a nice thick high quality rug; however, it sheds more than normal wool rugs.  I have taupe, grey, aqua, turquoise (blues/greens), colors throughout my home, but I can't seem to match it with anything.  It pulls the blue/green/grey colors, yet doesn't match with any of my decor despite my extreme efforts to re-decorate to make this rug work.  It may end up as a gift to friends or family, but hope the return shipping is reasonable as I bought 4.",1,G,2017
Helps keep my mattress nice and clean from disasters my daughter makes,1,H,2017
Love the colors.  Not as soft as I would prefer.,1,I,2017
"soft & cuddly.
lovely colour fades",1,J,2018
"Beautiful, but received wrong color ordered. It's a Christmas gift so it's too late to send in and wait for exchange. I am going to wait to see what she thinks of the color, but I hesitate to order from wayfar in the future.",1,A,2017
Great style!,1,B,2017
"I ordered this chair in BLUE. I waited forever for an item that said was IN STOCK. I FINALLY got it and when I opened it in was HOT PINK. So, I called Wayfair and the girl I talked to was very nice and said she would send for a pick-up and reorder it for me in BLUE. She said it would be a problem, that it was IN STOCK! I said... Great! No problem... mistakes happen. I waited for 3 weeks... And FINALLY I get the second chair only to open the box and the new chair was BRIGHT ORANGE!!!! By this time I was LIVID! This was a Christmas gift for a little boy and I really had my heart set on BLUE! I didn't have any choice but to keep it!!! I couldn't send it back because WAYFAIR NEVER PICKED UP THE 1ST ONE! I knew I'd be asking to much to pick up a second chair when they didn't pick-up the first one. The bottom line is.... I was sent to chairs I didn't order and I was charged for 2 chairs because their screw up was never corrected. I ended up donating the HOT PINK chair and I ended up giving the boy the orange chair even though it looks kind of sissy for a boy. I will continue to buy from Wayfair because I do like their products. However, if anything like this happens again.... I'm done and it will be their loss. If the chair had been sent correctly in the first place I would have given them 5 stars, but because the people working in their warehouse can't read the box or know their colors I giving them 3 stars.",1,C,2018
Really nice comfy cushions. Unfortunately they were too small for my chair seats and now I must return them,1,D,2017
"Ha! What they don't say is that the shutter is hollow with only one side, like a jello mold! They aren't real. Plus, mine was supposed to be 15"" wide, and they sent me 14 3/8"".  Bad deal!",1,E,2017
"I have been very pleased with many of my purchases from this site, and have generally found the descriptions accurate. This was not the case with these. They are VERY white, shiny, semi-sheer, and striped. Didn't work with my other items at all. If you look very closely at the image in the description, you can almost see the stripes, but they are much more obvious in person. However, the quality is great and if you are looking for very white, striped sheer curtains, these would be right up your alley.",1,F,2017
"I ordered this product by mistake and couldn't use it for the purpose that I needed. However, it was very beautiful.",1,G,2017
Just what I need. Thank you very much.,1,H,2018
Hot hard and you’ll wake up with a sore back and neck.,1,I,2017
"So cute, putting it in my laundry room.",1,J,2017
"very light , but nice",1,A,2018
Best range hood in the market for 600 cmf,1,B,2018
this was a great deal and the weight of it is perfect,1,C,2017
"I just love the curtains!
Quality is good and the color is beautiful.",1,D,2018
Great,1,E,2018
Perfect for storing toys!,1,F,2018
It's like sleeping on a cloud it conforms to your body real comfortable.,1,G,2018
Towels are thinner than described.,1,H,2018
Love it and my son love it,1,I,2018
Colors and style did not go with what I was looking for.,1,J,2017
"It's darker and more muted than pictured. While I love the style I ended up sending it back due to color. On a side note, the package came damaged....",1,A,2017
"Great for the price. Not the most comfortable chairs, but the look was perfect for what we needed.",1,B,2018
What came was not how the product was displayed here.  In order to return I need to pay more than half the cost. No good!,1,C,2018
"Excellent stools. They were actually too tall for my counter top, but I purchased the 24'' versions, and they are phenomenal!",1,D,2018
Nice piece but I was disappointed with the poor packaging. A few of the shells were damaged when I opened the box. It ended up being too large for the space that I intended it to hang. If I had another space for them I would've kept them.,1,E,2017
Trying to return it. Not the quality I expected!!,1,F,2017
Good to stage a home,1,G,2017
"Good quality, thick, perhaps the pix is a little lighter than the mat. Good addition to a kitchen, although the colors are not right for mine.",1,H,2018
"Wasn't extremely impressed with the look when it arrived. Looked very ""fake"" I thought.",1,I,2017
I was disappointed that the mug wasn't larger... it is only 9 oz and the tree print appears slightly distorted in my opinion. It just wasn't exactly what I expected. I am returning my order.,1,J,2018
It arrived within a couple of days and was exactly as described. We love it!,1,A,2018
Love it!,1,B,2017
Smaller than I expected. Didn't have the wow I expected,1,C,2018
The sconce is beautiful but I ordered the higher end crystal's when I opened the well packaged sconce to my dismay the higher end Strass crystals were not what I had ordered ... Wayfair corrected the problem and I awaiting my new sconce.. fingers crossed...,1,D,2018
Perfect for my entryway.  The style is impressive.,1,E,2018
There is no on/off switch and it is difficult to get the lamp shade on straight because of cheap manufacturing.,1,F,2018
love it,1,G,2017
Bigger than I anticipated.  A tub barrel chair.  Nice quality but too large for the area as planned.,1,H,2018
I love my fireplace. It's beautiful.  The only problem is it's lighter than the actual picture on the website and the rest of my living room furniture is dark wood. I called Wayfair and they apologized and gave me a discount because my husband had already put it together before I got home so I couldn't return it for a darker one.,1,I,2017
"Cute, but not enough wt to stay in place.",1,J,2018
"This is merely a piece of fabric that goes around the edges of the box spring and stays relatively connected (not very neatly, frankly) via an elastic band.  It's ugly and cheap and being returned today.",1,A,2018
many leaves were facing backwards and it was difficult to get them staying the forward direction,1,B,2017
Very Nice.  Would have been nice for our backyard but just won't work.,1,C,2017
"This dish rack is so beautiful and solid looking. It is full stainless steel and was simple to assemble. Unfortunately, I had to return it. The 3 tiers were just too high for the area I had available. Such a unique piece, wish it would of worked out. I am sad to see it go.",1,D,2018
"This is is an awful product! Packed in the messy messy styrofoam the base weighs over 20lbs! Edges on base are very rough and sharp-you feel like you’re cutting your hands. I didn’t fully assemble it due to the weight issue and mess, sending it back.",1,E,2017
"Very cute rug for a nursery! Not too bright so easy to match with things, but definitely still livens up the room.",1,F,2017
"These shelves are AWFUL. They're huge and bulky and I'm not sure how they would manage to stay on the wall, let alone adding any weight to them with picture frames or vases. And keep in mind if you DO order them and need to return them that they're heavy enough to cost quite a bit of money in return shipping. NOT WORTH IT.",1,G,2017
I really like this swing however I think it's really over priced for what it is.,1,H,2017
These are not the ones I wanted,1,I,2017
The comfort I expected from this Mattress Topper was not what I expected. It is very flat and feels as though there is just an extra thin blanket underneath you.,1,J,2017
Great rug pad .,1,A,2018
Cheap quality and look,1,B,2018
"Looks absolutely nothing like the photo.  Bright primary colors in person, not the jewel tones seen online.  Thought it would be an interesting visual addition to my entry way...instead I feel like I should be hosting story time in a preschool around it.  Going back immediately.",1,C,2018
This item was not what I expected for the price that I paid.,1,D,2018
Love these. Perfect navy!,1,E,2017
If you love color this is a great rug!  I would like to have an additional rug installed in another room but I need to convince my son and his wife.  They see practicality not aesthetics.,1,F,2018
"While it looks nice (and full sized) in the photos and has many positive reviews, it is very difficult to find anything positive to say about this loveseat.  I would describe this as a 2/3 scale, toy furnishing.  Unpack it, assemble it, place it in a room with an adult sized sofa and be prepared to laugh out loud.  It is suitable for spaces used by very small and responsible people only (children who can resist the urge to play with and remove the Velcro'd on upholstery or Lilliputians).  I saw one positive review where the people were using this to furnish an RV.  I can see that or using it in a playhouse/playroom situation or for anyone who's jumped on board the tiny house movement and needs equally tiny furnishings.  If any of those describe your situation, order with confidence.  I suppose I can admire the clever packaging and ease of assembly as well as the decent grade of fabric but the unmitigated disappointment I feel anytime I catch a glimpse of it in my living room far outweighs any of that.  Reviews describing the seat depth as inadequate are spot on.  Heed them.  They were not written by internet crackpots.  Average size adults are in constant danger of falling off the front of this thing.  When you pick yourself up off the floor you will then get to distract yourself from that unfortunate embarrassment by reattaching the back cushions to their Velcro fixings and reshaping the bottom cushions.  You need to do both anytime this has been sat upon.  Guests will imagine that you do not like them very much at all.  No one who lives in your home is going to want to sit on this without having lost a bet.  While it appears to be a brown with a hint of red on the monitors upon which I viewed it before ordering, it came out of the box in a delightful purple hue.  Take advantage of having fabric samples delivered before ordering.  Wayfair has so far been easy to deal with on the return.  The return policy states that you get to pay return shipping ($89 in this case).  They did provide a compromise on that I will be able to live with.  Fingers are crossed that I can repackage this thing in a manner which results in a fullish credit without the means to vacuum pack cushions into paper thin wafers.",1,G,2017
This shower curtain is ugly. Doesn't look anything like the image.,1,H,2018
"The print on canvas is much darker than the online image. This is especially true for the tree bark. You don't get as much detail in the print as the online image displays. It's too bad, because the online image looks great. Not so with the in-person print...",1,I,2018
It was alright just wont work in the place I needed it to fit. Need to return it.,1,J,2017
Extremely stunning using it to place in my bathroom over my soaker tub.  Beautiful picture.,1,A,2017
"There was nothing wrong with this set except it just didn't work in the bedroom I bought it for, so I returned it.",1,B,2018
This is the nice sink for modern bathroom,1,C,2018
"This one my husband didn't care for all of the flowers, so I returned it.",1,D,2018
Nice ottoman but did not love it for what I needed so returned it.,1,E,2018
"This rug was nice, but wasn't what I expected based on the picture and description. It said it was a shag rug, so I was expecting a rug woven with yarn-like pieces. Instead, it was knotted with strips of a papery fabric. It won't work in the room I purchased it for, so I am returning it.",1,F,2017
Very nice! The price for this piece is great! I've seen similar ottomans at other stores for almost double the price,1,G,2017
wakes up any room or space,1,H,2017
It is absolutely beatiful.  Was a bit big for my space so had to return it :-( very sad about that.,1,I,2018
"These runners are beautiful! I love the looks of them! Great quality and nice material! Not sure if they will go well in my kitchen, but I really like them!",1,J,2017
Somehow actual rug is not as bright as it looks in picture. The big design is not going well at least in my home but quality is good.,1,A,2017
Beautiful!  Looked great over the gray duvet.  Great quality.,1,B,2018
Nice chair! Goes perfectly!,1,C,2017
Color did not work out with color scheme as hoped it would.,1,D,2017
Wrong size so have to return. But bought different length and cant wait to get them. These really make the place feel so much nicer than it is.,1,E,2017
Disappointed! Did not look like the picture,1,F,2018
Love it! Really beautiful it makes a statement in my front foyer.,1,G,2017
"Elegant, refined, matched well will crystal knobs and Kohler Artifacts faucet.",1,H,2018
"Look great in our kitchen, don't stain easily, and they are very comfy!",1,I,2018
not as bright yellow as I expected more pastel,1,J,2017
great size & color!,1,A,2017
Super comfortable. My daughter is finally sleeping through the night. I'd get one for myself if I needed a new mattress.,1,B,2018
Very bright and thinner than expected.,1,C,2017
"This has a lot of brown and dark taupe tones and far less gray than depicted in the photo and written description.  Very disappointed as it looks lovely online, but that's the chance you take with online purchases.",1,D,2017
loved the color and quality. good size for my husband (tall),1,E,2017
"The rug is thin, feels a little cheap.",1,F,2018
Pretty but I found it to be very itchy material,1,G,2018
Very nice and good quality. I gave it 4 stars because I am returning this item only because the color is too dark for the room's color scheme.,1,H,2018
"Love, love, love this rug!  It is exactly what I was looking for.  It is plush and beautiful.  Our dog and two young children took to it right away (it's so comfortable to sit and lie on) and we have received so many compliments on it already, and we've had it less than a week.",1,I,2018
This is far from garland. It's just some clear plastic beads on some clear fishing wire. :(   I am putting in a return for this item.,1,J,2017
The chair is brown! It looks ivory. returning,1,A,2018
Very nice,1,B,2018
Gorgeous!!,1,C,2017
"Like the 10/17/17 reviewer, I want to note that the dimensions are totally wrong. Hopefully, that reviewer called Wayfair before returning the item to get Wayfair to pay for the shipping. This is totally their fault. The customer service person I spoke to said that they would make sure the dimensions are corrected on the site. Hopefully, that'll happen. Otherwise, these slipcovers - unlike the other reviewer, I was fine with the fabric - are useless!",1,D,2017
Its a very nice rug but what I thought would be a navy blue is actually a definite grey.,1,E,2017
The color is a beautiful greige color that goes beautifully with my greige walls and pewter oak flooring.  The shag is soft and plush and nice to walk on.  I love it so much I ordered the same style for throughout my house!,1,F,2018
"Very disappointed with this rug. The colors weren’t nearly as vibrant as pictured and when I unrolled the rug to lay it, the ends were so badly wrinkled, it was impossible to make them lie flat. The entire end of the rug is a wrinkled mess. This rug is 7x9, not exactly easy to repackage & return, therefore I’m just going to have to figure out how to make do. This wasn’t my first on line order of a rug but it is my first disappointment.",1,G,2018
Very disapointed in this product. I still had to sweep my floor even though this product has a vaccum. Steam portion didnt work well either. My floor was still dirty after I used this product,1,H,2017
"This is not a pretty rug. It looks nothing like the photo and honestly resembles bamboo. The green is NOT green, but a dark, mustard green.",1,I,2018
"They are pretty, but very heavy.",1,J,2017
The combination of colors was a perfect match for my decor.,1,A,2017
Nice bedset.,1,B,2018
Ugly in person!!! Poor quality. Sent it back.,1,C,2018
"nice chair, back and seat adjust",1,D,2017
"Misleading photo, delivery is not as shown in this picture.  The only thing you get is the table, very disappointing!! P.S. To make matters worse, I can't find these chairs anywhere. (:",1,E,2018
I'm sure these are nice sheets. But we wanted a fresh light blue and these have more grey in them. Had to return due to color.,1,F,2017
very pretty fabric...kind of light fabric though,1,G,2018
"This couch is perfect for a person of smaller stature. Personally, it is not for me. I'm 6 ft tall, 210 lbs. Beside, the sectional being extremely stiff and uncomfortable, I found it too small to sit in. There was no real depth to the couch. It reminds me of the furniture you find at a mall or university. Its there to get the job done, but doesn't invite you to stay. It doesn't have a homey feel to it. Honestly, I would spring for something better. You want your home to feel like home, not the common room of a college building. 

2 stars because the price is okay and if you don't mind the firmness, then by all means.. do you.",1,H,2017
great for my girl's room! good quality,1,I,2018
"This coverlet was awesome! The colors are just as represented online, it just didn't work with my dark wood palate wall behind the bed.",1,J,2017
"Love the look of this inflatable but there are absolutely no tabs on item to tie it down,  I live in California where Santa Ana’s will blow anything away...this item states it has tie downs but it does not.  Also no light inside to light it up...as shown in picture...a huge disappointment.  Returning the for the money spent",1,A,2018
It has sparkles in it.  Thin.  Returning.,1,B,2018
"Awful!!! Cheap quality. The seat is too short (even for me and Im 5’1”) and it is tilted towards the front, so you slide off. Returning it!",1,C,2017
Love it!,1,D,2018
Was very disappointed. I ordered a distressed wood. I got a snow white Shiney wood. I have nothing snow white. Thinks for the $30.00 credit. Juanita Kelly,1,E,2018
very poofy. cat loves it!,1,F,2018
Very pretty; I love it!,1,G,2017
Color not as stated. Item returned. Shipping cost for ridiculously. Item costed 139 returned at $98. I purchased multiple items in my order. seem like wayfair was trying obtain total shipping cost on one item returned.,1,H,2018
perfect match for our kitchen   no issues with installation,1,I,2018
This looks perfect in a foyer area.,1,J,2017
THe colors are bright like the picture. It's very thin but it is what we expected for the price.,1,A,2017
"These shelves are AWFUL. They're huge and bulky and I'm not sure how they would manage to stay on the wall, let alone adding any weight to them with picture frames or vases. And keep in mind if you DO order them and need to return them that they're heavy enough to cost quite a bit of money in return shipping. NOT WORTH IT.",1,B,2017
This chandelier is absolutely stunning. I had to return it only because it was too big for the intended space and I had no where else to put it.,1,C,2017
Was was sent the correct box and item # BUT the wrong color was inside.,1,D,2017
The sink looks good and is of a good quality,1,E,2017
"I unfortunately ordered the wrong size and had to return this, but it was a great sink at a great value.",1,F,2017
"It is a little smaller than I thought it would be.  Also the colors are a little dull.  I was going to put it on a gray wall, but I don't think it will show up very well. It might look better in the larger version.",1,G,2018
Awesome!!!,1,H,2017
"Color not as shown. I ordered the blue and shown it is a bright blue. As received it is a dark and not so bright blue. Also, it is for a window only, not over a door which is what I ordered. Have to return unfortunately.",1,I,2018
"NOT the memory foam I was hoping for.  What I wanted was one of those low-profile but fairly dense and firm pillows (what everyone thinks of in memory foam).  This thing is pretty overstuffed, kinda hurt my neck.  I'm sure all the tech is cool and useful, but it's just too big for me.",1,J,2017
Nice and extra soft!,1,A,2018
High quality rug. Very thick and beautifully made. Color is not true to photo... much more green in person.,1,B,2017
"Color received doesn’t match photo. If you are expecting a dark, espresso color don’t buy. It’s more of a light brown with gold undertones.",1,C,2018
Not soft at all and there is no pile or fluff. So thin you can see the rug framework like a little kid made it. Also very grey not cream.,1,D,2018
"Sorry, but I was disappointed in this order.  It really looked artificial!",1,E,2018
Absolute garbage. Terrible quality material and looks totally cheap. I'll be returning this.,1,F,2018
Ordered the Etagere Bookcase for a staging project. Ended up not using. I have not taken the item from the box as of yet. Nothing wrong with the merchandise just ended up not assembling the bookcase.,1,G,2018
"Another great product, service and delivery!",1,H,2017
Beautiful!,1,I,2018
Awesome chairs! Perfect for our needs. Larger seat than I figured. Comes pre-assembled. Easy to adjust.,1,J,2017
Very pretty rug but I'm returning as it has a lot more cream than I thought.,1,A,2018
"Its very pretty, I love it but its too big for the space I need to put it.",1,B,2018
"The product looks great but the website has the incorrect specs for the larger shade. This is 8' wide and 6' long, not the other way around. Unfortunately for us we needed the size that the website had posted. Too bad because we love the color and the quality of the product. Thank goodness wayfair has great customer service. But I hope they change the online specs before someone makes the same mistake that we made.",1,C,2017
Beautiful light,1,D,2017
"The weight is a little light but overall, it's a nice rug",1,E,2018
The rug really disappointed me. Much darker than the picture and very thin. Trying to return but getting no response from the Company.,1,F,2017
"dash and albert is a great company with stylish, well-made products.  Happy to have found this runner (will be cut and stapled to a wooden staircase) in a great print at a great price!",1,G,2017
"I think it looks cheap. Wobbles in thebase,and the seams in the metal work are just awful.",1,H,2017
Colors were vivid and beautiful.,1,I,2018
Wonderful vibrant colors!,1,J,2018
"Love the design! The fabric is soft and smooth. It has to much stuffing for my liking, trying to decide whether to take some out or return.",1,A,2018
"did not like at all how this was made, felt cheap and the color was off",1,B,2017
Great piece of art for the price.  Installed onto a space above an upholstered headboard in master bedroom.,1,C,2018
Very cheap looking. Sending it back,1,D,2017
We like this product as this is as beautiful as it looks in the picture. Made with sturdy material.,1,E,2018
Easy to order.  Love the light it gives off.,1,F,2018
"This works well. I only had to return it because I thought it could be used to clean carpets, but it's more of a spot treatment system for carpets.",1,G,2017
Not as nice as i thought it would be snd not quite the right colors.  I will be returning it.,1,H,2017
I ordered 3 identical navy chairs. Two arrived perfect and beautiful. One arrived in a green instead of blue,1,I,2018
"Cute, but smaller than I expected. Too small for my space.  Keep in mind that the measurements for the height of the pendant includes more than just the boxy area.  It goes all the way up to where the trusses meet the chain.",1,J,2017
Too short.,1,A,2018
"I loved the product, but the description said I could hang them either way and that isn't the case. I was compensated for the mistake, but it was frustrating when I wanted the lights to go in front of the mirror and not above it.",1,B,2017
"Very pretty, but the highlights are just a little too ""blue"" for our decor.",1,C,2018
Love it,1,D,2018
The purple is MUCH lighter...Had to return looking for dark purple,1,E,2018
"Beautiful, soft, silky fabric. Never saw myself with this color but it's stunning. Wish it came with accent pillows!",1,F,2017
Exceptional value! The comforters are fluffy and the fabric is warm and soft. I think my guests will enjoy them!,1,G,2017
"The tree is beautiful , the problem is making it stand up without screwing it to the floor or a bigger base . If it would be more stable i would have loved it .",1,H,2018
I did not care for the driftwood frame.  I would have liked it better with no frame at all.,1,I,2017
This print is perfect for my coastal living area! The colors are vibrant and exactly as pictured!,1,J,2018
Well-made. Color didn't work for me.,1,A,2018
"They are beautiful color and quality.  However, guess I didn't pay attention, You need to order three for each window to achieve this look that they show in the picture.",1,B,2017
"The seats are horrible. It was so rough in texture that I got slivers of wood in my hand just from rubbing my hand across!! This was the case with both seats. I'm sure it would snag clothing as well. I never even assembled them due to the seat being so bad. They were returned. 
Side note - they are cheaper elsewhere. See another review with photo of brand.",1,C,2018
Hermoso,1,D,2017
Great drape. Definitely transparent.,1,E,2018
Picture is deciving. Looks like black and silver,1,F,2018
The rug seems hard to walk on . The colors are more of an aqua blue.,1,G,2017
"Not as pretty in person.  Ended up returning because looks ""Old"" and was for my teenage daughter.",1,H,2018
"Very plush, good color, and extremely soft!",1,I,2017
Comes in a million little pieces without instructions. Must be willing to spend 10+ hours on this.,1,J,2018
To big for my needs but a nice box.,1,A,2017
Love this rug.  Color is perfect and fits well with our modern design.   Was sent wrong size initially but was replaced quickly.,1,B,2017
This tablecloth is everything as described. Elegant look with the design and pattern. This is the second one I have purchased and I have been pleased. The only reason for the purchase of the second one was due to someone spilling red candle wax that created a large red stain. I was happy to find Wayfair still carried this tablecloth.,1,C,2018
Lovely,1,D,2017
"The Stool Are Beautiful But I Did Not Realized That 25"" Was To Short Of A Length For My Bar",1,E,2017
This looks great in my family room. It holds a tiffany lamp and the small size is perfect for a corner.,1,F,2017
love the color,1,G,2018
I don't recommend. They're not comfortable to step on. The design is raised so it's lumpy and the carpet doesn't lay flat. Strings pulled. For the price you can get something much nicer.,1,H,2018
"Just received the mirror and it was the wrong finish! :(  Was really looking forward to it.. Also the mirror itself is of very low quality as it makes a person look distorted , too wide and short!  Very dissapointed... guess you get what you pay for......I will continue to search for the leaning mirror im looking for...",1,I,2017
priced right,1,J,2018
"Really pretty, this rug brings a pop of color in the room. It's nor a good choice if you have a dog, dog hair just clings to it. After 8 months of high traffic use, it's a little worn, better for a low traffic accent",0,A,2018
It's attractive to look at not to difficult to assemble but it is supremely uncomfortable.   We'll keep it b/c we'll use it infrequently.,0,B,2017
I’ve named her Nancy. And I love her! So cute in person!,0,C,2017
The Sutton pillowcase is well constructed and has a comfortable feel. A rather neutral design allows it to not overwhelm the room.,0,D,2017
Goes well with the table runner I ordered. Looks nice on my dining room table.,0,E,2017
Loved it,0,F,2017
"Love it, great product",0,G,2018
beautiful on my staircase and balcony. It is so nice to have the batteries and not have to plug them in.,0,H,2017
Lots of room and are sturdy.,0,I,2018
Great but! Great Price!,0,J,2018
"Overall, I like the clock a lot.  I just wish the hands were a little easier to see.  They blend in too much.",0,A,2017
"I love this table and I've gotten lots of compliments 
Although the wood is a little thin it still looks very nice 
Love it",0,B,2018
Got it in the indigo denim for a vacation home- perfect!,0,C,2018
Exactly what I was looking for!  Fits perfectly in my closet and now I don't have to sort the laundry - it's already done for me with my new Wayfair laundry sorter!,0,D,2018
"In the vast landscape of assemble it yourself furniture, this piece challenged my adequate handyman skills and so I called in reinforcements to help me finish the journey. This piece is best built with a friend, loved one, or someone you don't mind yelling at only to make up with over your favorite adult beverage later. It looks beautiful and is a daily reminder of my lack of patience in furniture assembly, which keeps me humble. I think that's called a win/win.",0,E,2017
Even prettier in person!  I used a dimmable filament bulb to complete the look.  I would highly recommend.,0,F,2018
Easy assembly less than 30 minutes,0,G,2018
"Not much.  It arrived OK but with the wrong address.  Your customer service was notified earlier this week with no response by 10/14.
Will return sign next week (week of 10/16) for your correction and/or refund.",0,H,2017
Easy to put together and looks great in my living room.,0,I,2017
"Beautiful, love the colors!!!!  Can't wait to get it hung.  Definitely recommend this lamp if you are looking for a antique atmosphere look!",0,J,2018
Very well made and good looking,0,A,2018
So soft great feel and wash well. Only downside-- lot of wrinkles after dryer but maybe I left in dryer too long? Still great buy for price.,0,B,2017
"Shame there are only five stars. Great website, fantastic selection, superb prices and outstanding service at every stage. Our account managers have always been unbelievably helpful and just when you think you may have a problem with something - you realize you do not actually have a problem because Wayfair always sorts it out quickly and efficiently. An inspirational shopping experience whether for home, work, gifts or whatever it may be. Could not imagine life without Wayfair now. Iain & Alison",0,C,2017
Love love love.  Soft.  Warm.  Plan to buy more!,0,D,2018
great quality for a great price,0,E,2018
"Well built, beautiful product. 
Rating:  5 stars",0,F,2018
Easy to put together.  Easy to change height of shelves.  I would recommend,0,G,2017
"Bed was what I expected. Sturdy, comfortable and fairly easy to assemble.  Parts came well organized and labeled.",0,H,2017
"The color on the picture looks grey and blue, but it was more green instead of grey.",0,I,2017
"Terrific! Bigger than a regular throw, it is so thick and warm! And a beautiful color. Just what I was looking for.",0,J,2018
very pretty rug! looks as pictured :),0,A,2018
looks great in sons room,0,B,2017
Loved for a few months but moved to another room and drawer feel apart,0,C,2018
has a lot of space inside,0,D,2017
"Pretty easy to put together, sturdy, and looks great. the wood is darker then the picture and my stand came without predrilled holes for the center wood backing so i have not put the back on. Other then that great purchase.",0,E,2018
"This is a beautiful pattern and covers ALL the ugly stains in the cheap w to w installed 20 years ago by the apt complex. They have refused to replace it or paint so I'm covering the cheap stuff with pretty stuff. The rug is not very thick, which I expected it to be. I grew up with Oriental rugs and love them. This is a decent immitation.",0,F,2018
"They are nice, but food gets trapped in the divots and they are extremely bulky. After a few weeks, threads are unraveling on one of them.",0,G,2018
Very comfortable,0,H,2017
Pretty fabric. Just as pictured.,0,I,2018
"Love these, super natural looking",0,J,2017
Vintage picture frame goes well with photos of my ancestry.,0,A,2017
"Wish there had been an option with another color scarf, but it is a perfectly gorgeous ornament.",0,B,2017
love it how it looks,0,C,2018
"Itll do for a small spot on a wall, however It's smaller than I expected.",0,D,2017
The armoire looks great and holds a lot. Most of my furniture is black or white so this piece ties it all together. I love that it has a shelf inside and two drawers at the bottom.,0,E,2017
"FABULOUS AND TRUE TO THE CLASSICAL DESIGN..THANKS, BUT YOU USED THOSE ATTROCIOS PEANUTS IN PACKING.  STOP IT...THEY ARE HORRIBLE...GOODBYE...IS'S A SHAME, BECAUSE I REALLY DO LIKE WAYFAIR.",0,F,2017
Easy to put together,0,G,2017
Good quality awning,0,H,2017
They are great for the money and the small details make them even nicer.,0,I,2017
I'm thoroughly impressed with the quality of this product. Love Love Love,0,J,2018
Four knobs updated a bathroom in ten mins. Great buy.,0,A,2018
Looks beautiful and added the right touch to the dining room.,0,B,2017
Exactly as pictured.  A nice buttery color and very well made.  It's a perfect 'happy' accent piece.,0,C,2017
So adorable! Love the rustic look,0,D,2017
"We are remodeling our bathroom and my new mirror with my new lights are perfect! I can now ""get ready for work""!!",0,E,2018
"Very well made, great colors!",0,F,2017
I have always wanted one of these plants but never do well with live ones. This is very nice and I am very happy with this purchase. My sister in law came over and went up to it and even touched it lightly. She said how beautiful it was and that she new I wanted one. I had to tell her it was not real. She walked back over and touched it again. It is natural looking. I love this arrangement.,0,G,2018
Looks exactly like the picture. Fairly easy to assemble but it takes awhile.,0,H,2018
Great kit.,0,I,2018
Love everything about these perfect for the small space I have,0,J,2017
"I purchased this end table in Oak and received it early. It was fully assembled when it arrived in careful packaging. 

The table itself is very pretty. The magazine rack on the side is great. I can easily fit my journal and a legal pad portfolio on the bottom rack and in the top rack perfectly holds my chromebook and my kindle. The tray at the top has an area to put drinks and an area for remotes. I don't anticipate using the drink tray but I can still use the drink tray space to store other items (like my glasses cleaning wipes and styluses for my kindle).

The two drawers are sizeable and are about the size one would need to put in a legal pad with room left in the front and back, so they are long and the depth is reasonable. I put some pens and a computer mouse in one and some books in the other. 

I naturally accumulate clutter around the areas I spend time in and I purchased this to reduce clutter and have more table space. Because the tray, drawers, and rack all offer organization, the table itself only has a lamp and some tissues on it and it has made the area next to my chairs look much much better. 

I am very happy with this purchase and, if I would recommend this end table to friends and family.",0,A,2018
Love this! Assembly was not too difficult. Looks chic and matches with plenty of furniture themes. Able to fit extra storage beneath without being seen.,0,B,2017
Great,0,C,2018
Marches our RV colors perfectly!,0,D,2018
"Wonderful purchase for the price, but it is a little warm.  Have to get a cooling gel topper, I think.",0,E,2017
I love this fish! I have gotten many compliments on it!,0,F,2017
Looks as pictured. Not too heavy. Can be put together will little Muscle effort. Seems sturdy thus far. Packaged well.,0,G,2017
"Very pretty but a horrible design.  The led lights aren't attached and must be taken out and put back in every time in order to turn the lights off and on.  And if/when the lights burn out, I don't know that they can be replaced.",0,H,2018
Great quality pans and nice and heavy too!,0,I,2017
Great instructions and easy to put together. Beautiful without a huge price tag.,0,J,2017
Should have bought larger size i have 2 twins together and it seems small but thougt king too large,0,A,2018
look and work great,0,B,2017
"Obsessed with the blanket (I got 2) but I want to order one in every color!! So so soft and pretty. I got the smaller size which is perfect, but the bigger one must be like a giant cloud... would like to get them all!",0,C,2017
This set is great! Not too big and not too small. Sturdy. The pieces are light and easy to assemble. The cushions are firm and almost white.,0,D,2017
"I think the Henna color is a really unusual red brown and does not absorb light like the dark brown
option and not as shiny as pitcured they are very comfortable and the swivel is great.  They are very nicely made except for the new zip on type upholstery which makes it impossible to get sharp edge on the top stitched seams because the foam is cut slightly larger. But they're so inexpensive compared to the perfectly upholstered ones that I purchased from Pier One five years ago that are no longer available and were twice the price of these.",0,E,2017
"I'm very pleased with this purchase. The table was well-packaged and easy to put together. It took me about 30 minutes. It is a heavy piece but I managed to slide it on a blanket and assemble by myself. With a helper, it would take maybe 15 minutes.",0,F,2018
"Beautiful, great size for a large dinning room table.",0,G,2017
